img_name,mos,comments
j00zs3u6dr,5.74349451065064,i like the colors but the image is a little too much
ytv70so3zb,5.77834892272949,i like the motion blur in this photo very nice
ia9890oozp,5.20939874649048,i like the idea but the image is a little too much color
xsj81ypx4a,4.80990505218506,i like the idea but the image is a bit too much color
f23994ghlh,4.99733591079712,i like the idea but the grain is a bit too much
olzx3kqzij,5.78653287887573,i like the lines in this photo and the bw conversion is very nice
pzhsjj4uxo,5.75846481323242,i like the contrast in this image and the image is very nice
2mb38w9n83,5.42818593978882,i like the idea but the image is a bit too much color
cz4tby7pfx,4.99478769302368,a reasonable use of hdr but not a very engaging photo in my opinion
8099bltbox,5.65157747268677,i like the idea but the light is a bit too much
4fxgmbki70,5.64589071273804,i like the idea but the image is a little too much color
398sev5zra,5.90420007705689,i like the idea but the image is a bit too much light
397dr2njq3,5.55074167251587,i like the idea but the image is a bit too much contrast
8l24x7ueri,5.13060569763184,i like the idea but the colors are a little too much
0payszbeft,6.16232442855835,i like the idea but the light is a bit too much
5706ozsu0u,6.32300519943237,i like the idea but the image is a little too much color
tvpgpvwu9y,5.54343366622925,i like the idea but the image is a bit too much contrast
0dwf6bs8mo,6.84014654159546,i like the idea but the image is a bit too much light
lzqw1192vq,6.04454374313355,i like the idea but the colors are a little too much
1usse6jnw8,4.69077157974243,i like the idea but the colors are a bit too much
3ys9jbc76z,5.94047927856445,i like the soft colors in this photo very nice
6xk1cs5xvk,5.32913398742676,i like the idea but the grain is a bit too much
6qahjxl52p,5.9982647895813,great colors and the light is very nice great job on the lights
0c1d6e5u9i,5.82475852966309,great capture love the colors and detail in this image very nice
854gp2f72r,5.91977119445801,i like the colors and the <unk>
jtfsyzka9g,6.40434408187866,great photo colors are really nice great job
ak7flz7ynt,3.86797165870667,i like the idea but the image is a bit too dark
1pjnu9u1ej,6.69899940490723,i like the colors and the light in this image very nice
79ve5uith4,5.91402626037598,i like the idea but the image is a little too much light
5azfddo3d4,5.99765253067017,i like the idea but the image is a bit too much contrast
nr4su3ty9j,6.12747383117676,i like the idea but the grain is a bit too much
i5greo4ux6,5.45506286621094,i like the light in this image very nice capture of course very nice
yfee52jxux,5.02099561691284,i like the idea but the image is a little too much color
bjua6xugqz,5.81761884689331,i like the idea but the colors are a little too much
plpnsfpf09,5.72889471054077,i like the use of black and white in this portrait very nice
k4gsnb1xa4,7.10230827331543,i like the selective desat in this image very nice
6d4gsnukds,5.51874160766602,i like the idea but the light is a bit too much
grdtvyw6n6,6.3524055480957,i like the black and white in this image very nice
cy08d3z2wl,4.96196174621582,i like the sepia tones in this photo very nice
rx0t0rifvk,6.17446374893189,i like the use of black and white in this image very nice
a1yrt4w3nf,6.03384828567505,cute but a bit too much noise in this image
n3o0h26ml5,5.75886678695679,i like the clouds and the blue in this image very nice
bys6pi3exn,4.09739494323731,i like the idea but the colors are a little too much
wq3h5st0re,5.62107801437378,i like the use of sepia tone in this image very nice job
9tw8hc454g,5.73334360122681,i like the idea but the image is a bit too dark
b2z46qc09u,5.98840761184692,i love the colors in this image and the image is very nice
sd2nq13rcs,6.44798612594605,i love the colors and the light in this image very nice
kq961c1f1r,5.11019134521484,i like the colors and the light in this image very nice
6isbnl5tdh,5.81758499145508,i like the idea but the image is a little too dark
t2act0fcb4,4.75814056396484,i like the idea but the image is a bit too dark
